instance;n_test;pop_size;gen_no_improve;mutating_move;mutating_factor;elite_size;max_generation;top_solution;elite_mean;total_time_sec;solution_time;timestamp
1-10_dots;test-0;25;350;1;10;10;356;264,7168;269,5;20,10339879989624;0,7475073337554932;2023-11-27 21:46:42,965397
1-10_dots;test-0;25;350;1;10;10;357;264,7168;269,5;20,737432718276978;0,8238570690155029;2023-11-27 21:55:36,142955
1-10_dots;test-0_pop100;100;100;5;10;10;135;264,7168;269,5;9,630513906478882;2,65384840965271;2023-11-11 20:37:59,853555
1-10_dots;test-0_pop25;25;100;1;10;10;109;264,7168;269,5;2,511915445327759;0,5099897384643555;2023-11-11 20:35:32,643677
1-10_dots;test-0_pop25;25;50;1;10;10;66;264,7168;269,5;1,490356206893921;0,5318272113800049;2023-11-11 21:12:37,977357
1-10_dots;test-0_pop25;25;100;1;10;10;117;264,7168;269,5;2,522688150405884;0,4595351219177246;2023-11-11 21:12:54,021212
1-10_dots;test-0_pop25;25;500;1;10;10;503;264,7168;269,5;11,441666603088379;0,2017655372619629;2023-11-11 21:13:28,286209
1-10_dots;test-0_pop25;25;100;1;10;10;104;264,7168;269,5;2,1876418590545654;0,20334959030151367;2023-11-11 21:15:10,167930
1-10_dots;test-0_pop25;25;50;1;10;10;52;264,7168;269,5;1,2004401683807373;0,21782612800598145;2023-11-11 21:35:00,054561
1-10_dots;test-0_pop25;25;150;1;10;10;155;264,7168;269,5;3,456360340118408;0,2258892059326172;2023-11-11 21:35:09,508337
1-10_dots;test-0_pop25;25;350;1;10;10;355;264,7168;269,5;7,817419767379761;0,21770954132080078;2023-11-11 21:35:32,981424
1-10_dots;test-0_pop25;25;450;1;10;10;455;264,7168;269,5;8,151413440704346;0,18216776847839355;2023-11-11 21:36:11,114447
1-10_dots;test-0_pop25;25;600;1;10;10;610;264,7168;269,5;10,731338024139404;0,27332210540771484;2023-11-11 21:36:54,947683
1-10_dots;test-0_pop50;50;100;2;10;10;113;264,7168;269,5;4,491837501525879;0,6180815696716309;2023-11-11 20:36:00,517297
1-10_dots;test-0_pop75;75;100;3;10;10;129;264,7168;269,62;6,438756227493286;1,5185744762420654;2023-11-11 20:36:52,409915
1-10_dots;test-1;25;350;1;10;10;353;264,7168;269,5;19,48515248298645;0,5036571025848389;2023-11-27 21:47:02,775832
1-10_dots;test-1_pop100;100;100;5;10;10;162;264,7168;269,5;11,555447340011597;4,48466944694519;2023-11-11 20:38:11,524229
1-10_dots;test-1_pop25;25;100;1;10;10;113;264,7168;269,5;2,54046368598938;0,46341776847839355;2023-11-11 20:35:35,328371
1-10_dots;test-1_pop25;25;50;1;10;10;55;264,7168;269,5;1,3632819652557373;0,241013765335083;2023-11-11 21:12:39,457346
1-10_dots;test-1_pop25;25;100;1;10;10;105;264,7168;269,5;2,2741363048553467;0,2113206386566162;2023-11-11 21:12:56,408210
1-10_dots;test-1_pop25;25;500;1;10;10;501;264,7168;269,5;10,64097285270691;0,14730072021484375;2023-11-11 21:13:39,048317
1-10_dots;test-1_pop25;25;100;1;10;10;124;264,7168;269,5;3,085988759994507;0,6392536163330078;2023-11-11 21:15:13,367870
1-10_dots;test-1_pop25;25;50;1;10;10;55;264,7168;269,5;1,1545965671539307;0,2161266803741455;2023-11-11 21:35:01,319756
1-10_dots;test-1_pop25;25;150;1;10;10;168;264,7168;269,5;3,7314043045043945;0,5080327987670898;2023-11-11 21:35:13,360653
1-10_dots;test-1_pop25;25;350;1;10;10;354;264,7168;269,5;7,954754590988159;0,19811153411865234;2023-11-11 21:35:41,055294
1-10_dots;test-1_pop25;25;450;1;10;10;452;264,7168;269,5;8,310578346252441;0,12422680854797363;2023-11-11 21:36:19,523764
1-10_dots;test-1_pop25;25;600;1;10;10;602;264,7168;269,5;10,78053593635559;0,12336611747741699;2023-11-11 21:37:05,825691
1-10_dots;test-1_pop50;50;100;2;10;10;107;264,7168;269,5;4,196488857269287;0,41312265396118164;2023-11-11 20:36:04,841685
1-10_dots;test-1_pop75;75;100;3;10;10;104;264,7168;269,65;5,208048343658447;0,3328235149383545;2023-11-11 20:36:57,735827
1-10_dots;test-2;25;350;1;10;10;352;264,7168;269,5;19,38650631904602;0,4090750217437744;2023-11-27 21:47:22,493252
1-10_dots;test-2_pop100;100;100;5;10;10;107;264,7168;270,93;8,189747333526611;0,6672053337097168;2023-11-11 20:38:19,829082
1-10_dots;test-2_pop25;25;100;1;10;10;103;264,7168;269,5;2,2494235038757324;0,17934513092041016;2023-11-11 20:35:37,723249
1-10_dots;test-2_pop25;25;50;1;10;10;52;264,7168;269,5;1,1782619953155518;0,19269323348999023;2023-11-11 21:12:40,776438
1-10_dots;test-2_pop25;25;100;1;10;10;110;264,7168;269,5;2,5233843326568604;0,34674668312072754;2023-11-11 21:12:59,054904
1-10_dots;test-2_pop25;25;500;1;10;10;509;264,7168;269,5;11,093849658966064;0,3053865432739258;2023-11-11 21:13:50,261827
1-10_dots;test-2_pop25;25;100;1;10;10;120;264,7168;269,5;2,6422107219696045;0,5524470806121826;2023-11-11 21:15:16,129315
1-10_dots;test-2_pop25;25;50;1;10;10;73;264,7168;269,5;1,6850757598876953;0,6214931011199951;2023-11-11 21:35:03,123034
1-10_dots;test-2_pop25;25;150;1;10;10;178;264,7168;269,5;3,8687779903411865;0,7516639232635498;2023-11-11 21:35:17,346906
1-10_dots;test-2_pop25;25;350;1;10;10;354;264,7168;269,5;8,13025975227356;0,19675898551940918;2023-11-11 21:35:49,304493
1-10_dots;test-2_pop25;25;450;1;10;10;454;264,7168;269,5;8,109840869903564;0,16361570358276367;2023-11-11 21:36:27,730504
1-10_dots;test-2_pop25;25;600;1;10;10;619;264,7168;269,5;12,48615026473999;0,43550586700439453;2023-11-11 21:37:18,409881
1-10_dots;test-2_pop50;50;100;2;10;10;106;264,7168;269,5;4,143593072891235;0,3604283332824707;2023-11-11 20:36:09,102533
1-10_dots;test-2_pop75;75;100;3;10;10;152;264,7168;269,62;7,396337270736694;2,632270574569702;2023-11-11 20:37:05,244873
1-10_dots;test-3;25;350;1;10;10;363;264,7168;269,5;20,41615915298462;0,9784238338470459;2023-11-27 21:47:43,177858
1-10_dots;test-3_pop100;100;100;5;10;10;104;264,7168;270,1;8,949428796768188;0,3792755603790283;2023-11-11 20:38:28,894782
1-10_dots;test-3_pop25;25;100;1;10;10;104;264,7168;269,5;2,3964903354644775;0,20813679695129395;2023-11-11 20:35:40,239250
1-10_dots;test-3_pop25;25;50;1;10;10;53;264,7168;269,61;1,2746539115905762;0,17349886894226074;2023-11-11 21:12:42,174391
1-10_dots;test-3_pop25;25;100;1;10;10;104;264,7168;269,5;2,314887046813965;0,2102494239807129;2023-11-11 21:13:01,489697
1-10_dots;test-3_pop25;25;500;1;10;10;508;264,7168;269,5;10,85170316696167;0,2838418483734131;2023-11-11 21:14:01,239129
1-10_dots;test-3_pop25;25;100;1;10;10;118;264,7168;269,5;2,508794069290161;0,5201666355133057;2023-11-11 21:15:18,753307
1-10_dots;test-3_pop25;25;50;1;10;10;51;264,7168;269,5;1,3192176818847656;0,164017915725708;2023-11-11 21:35:04,568473
1-10_dots;test-3_pop25;25;150;1;10;10;169;264,7168;269,61;3,813777208328247;0,5473794937133789;2023-11-11 21:35:21,279676
1-10_dots;test-3_pop25;25;350;1;10;10;358;264,7168;269,5;7,119781732559204;0,2965574264526367;2023-11-11 21:35:56,544535
1-10_dots;test-3_pop25;25;450;1;10;10;452;264,7168;269,5;8,001965999603271;0,15380430221557617;2023-11-11 21:36:35,842500
1-10_dots;test-3_pop25;25;600;1;10;10;609;264,7168;269,5;12,475837230682373;0,5562269687652588;2023-11-11 21:37:31,203919
1-10_dots;test-3_pop50;50;100;2;10;10;156;264,7168;269,5;6,149821758270264;2,276371955871582;2023-11-11 20:36:15,367722
1-10_dots;test-3_pop75;75;100;3;10;10;148;264,7168;269,66;7,333561420440674;2,473069190979004;2023-11-11 20:37:12,701197
1-10_dots;test-4;25;350;1;10;10;392;264,7168;269,5;21,892221212387085;2,7984890937805176;2023-11-27 21:48:05,470341
1-10_dots;test-4_pop100;100;100;5;10;10;133;264,7168;270,32;10,152592182159424;2,544663906097412;2023-11-11 20:38:39,160310
1-10_dots;test-4_pop25;25;100;1;10;10;126;264,7168;269,5;2,8297553062438965;0,7398138046264648;2023-11-11 20:35:43,193266
1-10_dots;test-4_pop25;25;50;1;10;10;80;264,7168;269,5;1,7904326915740967;0,8214132785797119;2023-11-11 21:12:44,094918
1-10_dots;test-4_pop25;25;100;1;10;10;102;264,7168;269,5;2,267103433609009;0,1551363468170166;2023-11-11 21:13:03,875048
1-10_dots;test-4_pop25;25;500;1;10;10;504;264,7168;269,5;10,951341390609741;0,18848037719726562;2023-11-11 21:14:12,307096
1-10_dots;test-4_pop25;25;100;1;10;10;104;264,7168;269,5;2,1837503910064697;0,20956730842590332;2023-11-11 21:15:21,052935
1-10_dots;test-4_pop25;25;50;1;10;10;58;264,7168;269,5;1,2428803443908691;0,28252410888671875;2023-11-11 21:35:05,928186
1-10_dots;test-4_pop25;25;150;1;10;10;170;264,7168;269,5;3,6460354328155518;0,5787458419799805;2023-11-11 21:35:25,044759
1-10_dots;test-4_pop25;25;350;1;10;10;353;264,7168;269,5;6,220681190490723;0,1439816951751709;2023-11-11 21:36:02,866830
1-10_dots;test-4_pop25;25;450;1;10;10;457;264,7168;269,5;8,181342124938965;0,20656037330627441;2023-11-11 21:36:44,119953
1-10_dots;test-4_pop25;25;600;1;10;10;605;264,7168;269,5;10,826459646224976;0,18205046653747559;2023-11-11 21:37:42,132024
1-10_dots;test-4_pop50;50;100;2;10;10;143;264,7168;269,5;5,820235252380371;1,794069766998291;2023-11-11 20:36:21,300905
1-10_dots;test-4_pop75;75;100;3;10;10;109;264,7168;269,62;6,078705549240112;0,5657598972320557;2023-11-11 20:37:18,906429
1-10_dots;test-5;25;350;1;10;10;352;264,7168;269,5;19,805370569229126;0,5200097560882568;2023-11-27 21:48:25,647492
1-10_dots;test-5_pop100;100;100;5;10;10;112;264,7168;269,5;8,435705423355103;1,0430166721343994;2023-11-11 20:38:47,713988
1-10_dots;test-5_pop25;25;100;1;10;10;106;264,7168;269,5;2,2828457355499268;0,2546353340148926;2023-11-11 20:35:45,597806
1-10_dots;test-5_pop25;25;50;1;10;10;56;264,7168;269,5;1,2995500564575195;0,264113187789917;2023-11-11 21:12:45,511017
1-10_dots;test-5_pop25;25;100;1;10;10;106;264,7168;269,5;2,3727221488952637;0,26120686531066895;2023-11-11 21:13:06,364247
1-10_dots;test-5_pop25;25;500;1;10;10;517;264,7168;269,5;10,946373701095581;0,4830465316772461;2023-11-11 21:14:23,370003
1-10_dots;test-5_pop25;25;100;1;10;10;117;264,7168;269,5;2,8762366771698;0,49504876136779785;2023-11-11 21:15:24,048943
1-10_dots;test-5_pop50;50;100;2;10;10;114;264,7168;269,5;4,482962131500244;0,6995851993560791;2023-11-11 20:36:25,912806
1-10_dots;test-5_pop75;75;100;3;10;10;126;264,7168;269,5;6,543745040893555;1,3922336101531982;2023-11-11 20:37:25,566125
1-10_dots;test-6;25;350;1;10;10;351;264,7168;269,5;19,828042030334473;0,44846010208129883;2023-11-27 21:48:45,855592
1-10_dots;test-6_pop100;100;100;5;10;10;118;264,7168;269,64;9,642046451568604;1,418736457824707;2023-11-11 20:38:57,471937
1-10_dots;test-6_pop25;25;100;1;10;10;105;264,7168;269,5;2,2022976875305176;0,20474696159362793;2023-11-11 20:35:47,911195
1-10_dots;test-6_pop25;25;50;1;10;10;59;264,7168;269,64;1,3605742454528809;0,30840039253234863;2023-11-11 21:12:46,995431
1-10_dots;test-6_pop25;25;100;1;10;10;102;264,7168;269,5;2,442241907119751;0,16340923309326172;2023-11-11 21:13:08,928371
1-10_dots;test-6_pop25;25;500;1;10;10;508;264,7168;269,5;10,820730209350586;0,28884029388427734;2023-11-11 21:14:34,308466
1-10_dots;test-6_pop25;25;100;1;10;10;116;264,7168;269,61;2,6119885444641113;0,5029616355895996;2023-11-11 21:15:26,785444
1-10_dots;test-6_pop50;50;100;2;10;10;131;264,7168;269,5;5,0892860889434814;1,255840539932251;2023-11-11 20:36:31,115324
1-10_dots;test-6_pop75;75;100;3;10;10;126;264,7168;270,09;6,5010459423065186;1,3826723098754883;2023-11-11 20:37:32,188118
1-10_dots;test-7;25;350;1;10;10;354;264,7168;269,5;18,600725173950195;0,5014245510101318;2023-11-27 21:49:04,741099
1-10_dots;test-7_pop100;100;100;5;10;10;124;264,7168;269,68;9,075533151626587;1,7701854705810547;2023-11-11 20:39:06,670479
1-10_dots;test-7_pop25;25;100;1;10;10;133;264,7168;269,5;2,8410391807556152;0,8199982643127441;2023-11-11 20:35:50,859461
1-10_dots;test-7_pop25;25;50;1;10;10;67;264,7168;269,5;1,5660295486450195;0,5388236045837402;2023-11-11 21:12:48,689139
1-10_dots;test-7_pop25;25;100;1;10;10;104;264,7168;269,5;2,5506985187530518;0,24246573448181152;2023-11-11 21:13:11,612711
1-10_dots;test-7_pop25;25;500;1;10;10;507;264,7168;269,5;10,767150640487671;0,2572181224822998;2023-11-11 21:14:45,196762
1-10_dots;test-7_pop25;25;100;1;10;10;121;264,7168;269,5;2,7375118732452393;0,5921001434326172;2023-11-11 21:15:29,658581
1-10_dots;test-7_pop50;50;100;2;10;10;146;264,7168;269,5;5,787360429763794;1,904724359512329;2023-11-11 20:36:37,016696
1-10_dots;test-7_pop75;75;100;3;10;10;101;264,7168;269,94;4,782719373703003;0,16635394096374512;2023-11-11 20:37:37,084146
1-10_dots;test-8;25;350;1;10;10;381;264,7168;269,5;17,784489631652832;1,7067301273345947;2023-11-27 21:49:22,785983
1-10_dots;test-8_pop100;100;100;5;10;10;100;264,7168;269,5;7,5659284591674805;0;2023-11-11 20:39:14,360404
1-10_dots;test-8_pop25;25;100;1;10;10;102;264,7168;269,5;2,196333646774292;0,15454363822937012;2023-11-11 20:35:53,164142
1-10_dots;test-8_pop25;25;50;1;10;10;53;264,7168;269,5;1,177565574645996;0,20224308967590332;2023-11-11 21:12:49,996233
1-10_dots;test-8_pop25;25;100;1;10;10;117;264,7168;269,5;2,556826114654541;0,4731156826019287;2023-11-11 21:13:14,293337
1-10_dots;test-8_pop25;25;500;1;10;10;556;264,7168;269,5;11,78709363937378;1,3224332332611084;2023-11-11 21:14:57,104309
1-10_dots;test-8_pop25;25;100;1;10;10;101;264,7168;269,5;2,372110366821289;0,1512289047241211;2023-11-11 21:15:32,157185
1-10_dots;test-8_pop50;50;100;2;10;10;107;264,7168;269,5;4,343445777893066;0,4050149917602539;2023-11-11 20:36:41,475810
1-10_dots;test-8_pop75;75;100;3;10;10;150;264,7168;269,92;7,233112812042236;2,448941946029663;2023-11-11 20:37:44,431525
1-10_dots;test-9;25;350;1;10;10;353;264,7168;269,5;16,433022499084473;0,3885533809661865;2023-11-27 21:49:39,471536
1-10_dots;test-9_pop100;100;100;5;10;10;127;264,7168;269,85;9,754549264907837;2,0082600116729736;2023-11-11 20:39:24,229879
1-10_dots;test-9_pop25;25;100;1;10;10;121;264,7168;269,5;2,620496988296509;0,5675442218780518;2023-11-11 20:35:55,900752
1-10_dots;test-9_pop25;25;50;1;10;10;53;264,7168;269,5;1,2639191150665283;0,18845772743225098;2023-11-11 21:12:51,381696
1-10_dots;test-9_pop25;25;100;1;10;10;104;264,7168;269,5;2,2975893020629883;0,20492243766784668;2023-11-11 21:13:16,711773
1-10_dots;test-9_pop25;25;500;1;10;10;507;264,7168;269,5;10,63847279548645;0,27192091941833496;2023-11-11 21:15:07,859499
1-10_dots;test-9_pop25;25;100;1;10;10;104;264,7168;269,5;2,3519186973571777;0,20204758644104004;2023-11-11 21:15:34,640100
1-10_dots;test-9_pop50;50;100;2;10;10;103;264,7168;269,5;4,268538236618042;0,21501588821411133;2023-11-11 20:36:45,857585
1-10_dots;test-9_pop75;75;100;3;10;10;110;264,7168;269,84;5,556502819061279;0,6188440322875977;2023-11-11 20:37:50,107610
2-20_dots;test-0;25;350;1;10;10;542;382,2802;387,42;46,963637351989746;19,139735460281372;2023-11-27 22:06:11,972293
2-20_dots;test-0_pop10;25;350;1;10;10;416;382,2802;388,35;15,33838152885437;2,898505210876465;2023-11-11 21:51:55,380622
2-20_dots;test-0_pop10;25;350;1;50;10;456;382,2802;387,37;17,6942036151886;4,559883117675781;2023-11-11 22:25:33,477595
2-20_dots;test-0_pop10;25;350;1;10;10;400;382,2802;387,7;14,04762077331543;2,204970359802246;2023-11-11 22:25:54,879679
2-20_dots;test-0_pop100;100;100;5;10;10;152;387,0301;399,71;20,028611421585083;6,988045692443848;2023-11-11 20:50:44,032551
2-20_dots;test-0_pop15;25;350;1;10;10;406;382,2802;388,15;14,597441673278809;2,370847463607788;2023-11-11 22:27:25,089593
2-20_dots;test-0_pop20;20;100;1;10;10;333;382,2802;389,09;10,61547589302063;8,092068195343018;2023-11-11 21:01:42,715217
2-20_dots;test-0_pop20;20;10;1;10;10;10;439,8229;446,29;0,3561382293701172;0;2023-11-11 21:03:55,928031
2-20_dots;test-0_pop20;20;10;1;10;10;46;387,4483;396,25;1,418661117553711;1,6430268287658691;2023-11-11 21:04:22,440827
2-20_dots;test-0_pop20;25;350;1;20;10;479;382,2802;387,28;19,106127977371216;5,62271523475647;2023-11-11 22:13:31,553270
2-20_dots;test-0_pop25;25;100;1;10;10;218;382,2802;388,85;7,576708078384399;4,63037109375;2023-11-11 20:42:34,940132
2-20_dots;test-0_pop25;25;10;1;10;10;10;439,8229;448,96;0,4174065589904785;0;2023-11-11 21:04:33,128577
2-20_dots;test-0_pop25;25;50;1;10;10;51;422,3448;430,94;1,884610891342163;0,6278548240661621;2023-11-11 21:18:12,578389
2-20_dots;test-0_pop25;25;100;1;10;10;296;382,2802;388,73;10,283652067184448;7,222182989120483;2023-11-11 21:19:06,953337
2-20_dots;test-0_pop25;25;500;1;10;10;808;382,2802;386,99;28,16953444480896;11,090380907058716;2023-11-11 21:20:43,525751
2-20_dots;test-0_pop25;25;100;1;10;10;177;382,2802;388,27;6,724559545516968;3,02445387840271;2023-11-11 21:24:29,039486
2-20_dots;test-0_pop25;25;50;1;10;10;129;387,0301;394,02;5,053961992263794;3,772346019744873;2023-11-11 21:39:26,722665
2-20_dots;test-0_pop25;25;150;1;10;10;205;428,2621;433,16;7,694077491760254;2,5305635929107666;2023-11-11 21:39:54,112208
2-20_dots;test-0_pop25;25;350;1;10;10;681;382,2802;387,22;23,130629301071167;11,85136604309082;2023-11-11 21:40:54,266419
2-20_dots;test-0_pop25;25;450;1;10;10;539;382,2802;386,9;17,89696478843689;3,408634901046753;2023-11-11 21:42:12,625331
2-20_dots;test-0_pop25;25;600;1;10;10;827;382,2802;386,76;28,508814573287964;8,035016536712646;2023-11-11 21:44:00,569973
2-20_dots;test-0_pop30;30;10;1;10;10;11;428,2621;437,66;0,4960360527038574;0,47879695892333984;2023-11-11 21:04:43,676173
2-20_dots;test-0_pop30;25;350;1;30;10;403;382,2802;386,96;17,121099948883057;3,057288646697998;2023-11-11 22:18:25,711497
2-20_dots;test-0_pop50;50;100;2;10;10;251;388,6086;404,62;16,316643238067627;10,154610395431519;2023-11-11 20:43:58,079316
2-20_dots;test-0_pop50;25;350;1;50;10;429;382,2802;388,46;16,27775526046753;3,4100394248962402;2023-11-11 21:54:57,922560
2-20_dots;test-0_pop75;75;100;3;10;10;327;382,2802;390,41;29,571601629257202;20,89827013015747;2023-11-11 20:46:41,165250
2-20_dots;test-0_pop99;25;350;1;99;10;574;382,2802;386,49;23,592605590820312;9,788652420043945;2023-11-11 22:01:39,918370
2-20_dots;test-1_pop10;25;350;1;10;10;647;382,2802;387,91;21,91057515144348;10,133061647415161;2023-11-11 21:52:17,727312
2-20_dots;test-1_pop10;25;350;1;10;10;680;382,2802;388,66;23,847368955612183;12,033782482147217;2023-11-11 22:26:19,200270
2-20_dots;test-1_pop100;100;100;5;10;10;274;406,0884;412,84;35,76685190200806;22,753241300582886;2023-11-11 20:51:20,184197
2-20_dots;test-1_pop20;20;100;1;10;10;190;411,2164;413,39;6,071081638336182;3,3457512855529785;2023-11-11 21:01:49,200892
2-20_dots;test-1_pop20;20;10;1;10;10;10;439,8229;457,36;0,3622398376464844;0;2023-11-11 21:03:56,726730
2-20_dots;test-1_pop20;20;10;1;10;10;28;408,3112;418,83;0,989626407623291;1,030491828918457;2023-11-11 21:04:23,836280
2-20_dots;test-1_pop20;25;350;1;20;10;420;382,2802;387,39;16,135682582855225;3,062483310699463;2023-11-11 22:13:48,100555
2-20_dots;test-1_pop25;25;100;1;10;10;250;382,2802;387,41;8,971477270126343;6,023860931396484;2023-11-11 20:42:44,317338
2-20_dots;test-1_pop25;25;10;1;10;10;13;428,2621;441,18;0,4699409008026123;0,5016095638275146;2023-11-11 21:04:33,991673
2-20_dots;test-1_pop25;25;50;1;10;10;71;428,2621;434,11;2,6787428855895996;1,2825987339019775;2023-11-11 21:18:15,728484
2-20_dots;test-1_pop25;25;100;1;10;10;273;382,2802;388,27;9,583571672439575;6,5359790325164795;2023-11-11 21:19:16,938359
2-20_dots;test-1_pop25;25;500;1;10;10;569;382,2802;387,47;20,00135612487793;2,933051586151123;2023-11-11 21:21:03,934380
2-20_dots;test-1_pop25;25;100;1;10;10;183;382,2802;388,39;6,612371921539307;3,3418033123016357;2023-11-11 21:24:36,073909
2-20_dots;test-1_pop25;25;50;1;10;10;135;428,2621;435,23;5,652403354644775;4,169822692871094;2023-11-11 21:39:32,814323
2-20_dots;test-1_pop25;25;150;1;10;10;324;382,2802;387,95;11,64430570602417;6,369195461273193;2023-11-11 21:40:06,191902
2-20_dots;test-1_pop25;25;350;1;10;10;402;382,2802;388,35;13,459580898284912;2,164379596710205;2023-11-11 21:41:08,100144
2-20_dots;test-1_pop25;25;450;1;10;10;501;382,2802;387,84;16,630754232406616;2,0809669494628906;2023-11-11 21:42:29,629448
2-20_dots;test-1_pop25;25;600;1;10;10;755;382,2802;386,87;25,96617555618286;5,555474281311035;2023-11-11 21:44:26,919102
2-20_dots;test-1_pop30;30;10;1;10;10;10;439,8229;454,85;0,48457813262939453;0;2023-11-11 21:04:44,597386
2-20_dots;test-1_pop30;25;350;1;30;10;400;382,2802;386,95;16,322183847427368;2,4475979804992676;2023-11-11 22:18:42,478683
2-20_dots;test-1_pop50;50;100;2;10;10;154;414,9102;422,83;10,644800901412964;3,906984567642212;2023-11-11 20:44:09,131607
2-20_dots;test-1_pop50;25;350;1;50;10;518;382,2802;387,72;19,471413373947144;6,7478697299957275;2023-11-11 21:55:17,813821
2-20_dots;test-1_pop75;75;100;3;10;10;136;414,9102;426,87;12,837193012237549;3,622002601623535;2023-11-11 20:46:54,411673
2-20_dots;test-1_pop99;25;350;1;99;10;568;382,2802;386,96;25,019345998764038;10,02732539176941;2023-11-11 22:02:05,343165
2-20_dots;test-2_pop10;25;350;1;10;10;587;382,2802;388,53;19,583358764648438;8,257423162460327;2023-11-11 21:52:37,704672
2-20_dots;test-2_pop10;25;350;1;10;10;438;382,2802;387,37;16,58553457260132;3,5807037353515625;2023-11-11 22:26:36,200795
